,property_type,district,land_m2,property_m2,year,unit_level,freehold,price_m2,mall_count,school_count,park_count,river_count,lake_count,rail_station_count,incoming_ridership_within_1km,outgoing_ridership_within_1km,total_ridership_within_1km,walk_dist_to_mall,walk_dist_to_school,walk_dist_to_park,walk_dist_to_river,walk_dist_to_lake,walk_dist_to_rail_station,dist_to_mall,dist_to_school,dist_to_park,dist_to_river,dist_to_lake,dist_to_rail_station,transit,market_cluster_id
27458,cluster house,kuala lumpur,93.0,56.0,2024,0,0,6071.43,6,4,1,6,1,0,0,0,0,0.164,0.63,1.373,0.99,0.859,1.278,0.164,1.11,1.334,0.99,0.923,1.264,1,KU_048
45423,2 - 2 1/2 storey terraced,kuala langat,161.0,147.0,2023,0,1,3367.35,0,5,0,1,0,0,0,0,0,2.876,0.406,8.241,3.454,4.394,13.465,2.833,0.406,11.029,2.902,4.056,24.44,0,KU_008
37332,2 - 2 1/2 storey terraced,klang,296.56,133.0,2025,0,1,7518.8,2,0,5,3,1,0,0,0,0,0.476,2.907,0.598,1.606,1.379,3.635,0.337,2.678,0.253,1.366,3.146,4.219,1,KL_018
23316,2 - 2 1/2 storey terraced,petaling,130.06,126.0,2023,0,0,3801.59,6,1,11,1,1,2,76812,70288,147100,0.143,1.477,0.06,0.692,1.533,1.823,0.187,1.482,0.267,0.6,1.497,1.858,1,PE_065
67483,low-cost house,kuala selangor,111.0,60.0,2024,0,0,2000.0,0,1,0,0,0,0,0,0,0,9.939,1.531,10.227,10.974,6.884,21.0,9.361,0.985,11.054,10.963,6.555,21.0,0,KU_074
12790,flat,kuala lumpur,6.7,6.7,2023,8,1,34029.85,9,7,11,1,1,0,0,0,0,0.206,0.672,0.574,1.953,1.707,3.107,0.639,0.572,0.252,2.008,1.915,3.342,1,KU_041
57987,1 - 1 1/2 storey terraced,klang,126.0,69.0,2024,0,1,5652.17,0,0,0,0,0,0,0,0,0,1.606,1.324,8.462,11.28,9.569,10.55,1.33,2.146,8.99,12.225,10.973,10.55,0,KL_065
23273,condominium/apartment,petaling,135.0,135.0,2023,1,1,4222.22,2,7,9,2,1,0,0,0,0,1.72,1.357,0.81,5.943,2.693,4.51,0.869,0.257,1.193,4.763,2.063,4.048,1,PE_062
15580,condominium/apartment,kuala lumpur,7.8,7.8,2023,8,1,67948.72,7,7,5,1,0,0,0,0,0,1.28,0.726,0.275,3.662,6.472,3.357,1.337,0.725,1.088,3.768,6.755,4.763,1,KU_036
18571,condominium/apartment,kuala lumpur,8.6,8.6,2024,3,1,42790.7,7,3,3,2,0,0,0,0,0,0.229,1.48,0.895,3.763,2.123,2.221,0.257,1.427,0.852,3.682,3.934,3.498,1,KU_031
48419,1 - 1 1/2 storey semi-detached,hulu selangor,310.0,98.0,2024,0,1,5612.24,1,0,1,1,1,0,0,0,0,1.458,2.087,0.579,1.419,1.466,21.0,1.606,2.248,0.81,0.229,0.274,28.143,0,HU_040
51041,2 - 2 1/2 storey terraced,petaling,182.0,153.0,2023,0,1,6437.91,2,1,6,0,0,0,0,0,0,0.448,1.297,1.437,7.3,4.362,8.067,0.311,1.942,1.428,8.138,3.354,8.731,0,PE_014
44884,2 - 2 1/2 storey terraced,klang,208.11,111.0,2023,0,1,7792.79,1,1,3,0,0,0,0,0,0,1.28,1.394,0.836,2.452,3.618,8.97,1.244,1.673,0.846,2.921,3.727,9.004,0,KL_070
26513,2 - 2 1/2 storey terraced,petaling,160.0,153.29,2024,0,1,5610.28,3,7,6,0,1,2,87267,90745,178012,0.864,0.384,0.125,3.641,0.942,0.911,0.93,0.266,0.348,3.736,3.674,0.977,1,PE_066
57008,2 - 2 1/2 storey terraced,petaling,177.0,156.07,2023,0,1,9290.7,2,0,4,1,2,0,0,0,0,1.499,2.198,0.525,2.246,0.765,5.326,1.464,2.334,0.525,2.544,2.045,5.717,0,PE_019
20549,1 - 1 1/2 storey terraced,klang,130.0,93.0,2024,0,1,5000.0,8,10,2,0,0,2,0,0,0,0.375,0.814,0.85,1.463,2.765,0.788,0.097,0.865,0.823,1.406,2.716,1.649,1,KL_021
60211,2 - 2 1/2 storey terraced,gombak,130.0,128.0,2024,0,0,5546.88,5,4,2,0,0,0,0,0,0,0.255,0.416,0.65,1.51,1.494,11.478,0.529,0.669,0.771,1.539,1.494,12.341,0,GO_000
8873,flat,kuala lumpur,5.1,5.1,2024,3,0,36274.51,1,5,3,1,1,0,0,0,0,2.143,0.364,1.647,4.832,5.743,4.961,0.265,0.265,0.265,1.114,0.265,5.641,1,KU_033
55170,flat,gombak,77.0,77.0,2023,7,0,3116.88,2,0,0,0,0,0,0,0,0,0.862,3.051,2.616,2.606,3.748,13.759,1.62,3.798,4.81,4.204,3.766,12.975,0,GO_000
53646,low-cost flat,gombak,73.0,73.0,2023,1,1,1643.84,0,1,0,0,0,0,0,0,0,2.052,0.494,4.916,2.411,5.324,21.976,2.109,0.632,5.028,2.097,5.503,27.574,0,GO_001
32937,condominium/apartment,kuala lumpur,11.7,11.7,2024,33,1,240256.41,4,7,5,3,0,6,1051084,1287003,2338087,0.451,0.807,0.557,1.299,2.14,0.412,0.609,1.228,0.982,0.975,2.469,0.859,1,KU_044
39086,2 - 2 1/2 storey terraced,hulu selangor,121.0,120.77,2024,0,0,2194.25,0,1,0,2,0,0,0,0,0,1.831,1.957,6.657,2.249,6.391,21.0,2.109,1.881,7.104,2.564,6.971,28.143,0,HU_048
64243,condominium/apartment,gombak,94.38,94.38,2023,0,0,3072.68,2,0,4,1,1,0,0,0,0,0.606,2.431,0.362,1.487,0.496,6.523,0.436,0.602,0.0,0.0,0.0,6.298,0,GO_003
13183,condominium/apartment,petaling,78.0,78.0,2023,4,1,3846.15,2,5,7,0,1,0,0,0,0,0.211,0.807,1.764,1.968,3.708,1.668,0.211,0.328,1.72,3.114,5.037,1.881,1,PE_066
5343,2 - 2 1/2 storey terraced,kuala lumpur,130.06,118.0,2023,0,1,6779.66,8,8,5,2,0,1,0,30873,30873,0.424,1.194,1.218,1.924,1.798,0.602,0.152,1.459,1.132,2.597,2.13,1.072,1,KU_047
23873,2 - 2 1/2 storey terraced,klang,152.0,139.35,2024,0,1,6099.75,0,1,3,0,1,1,0,0,0,2.077,1.785,1.35,5.261,1.509,1.249,2.337,1.786,1.242,5.262,1.523,2.156,1,KL_024
9134,flat,kuala lumpur,5.3,5.3,2024,1,0,24150.94,12,5,6,0,1,2,899492,826855,1726347,0.242,1.253,0.426,1.46,0.761,0.413,0.127,1.178,0.98,2.568,0.836,0.616,1,KU_044
49016,2 - 2 1/2 storey terraced,sepang,144.0,121.0,2023,0,0,4421.49,1,2,0,0,0,0,0,0,0,0.822,0.437,3.37,5.781,1.723,7.766,0.773,0.446,3.522,5.656,1.372,9.456,0,SE_097
64900,1 - 1 1/2 storey terraced,hulu selangor,100.0,52.0,2023,0,1,6346.15,1,1,0,2,0,0,0,0,0,1.117,1.318,5.734,1.476,2.557,21.0,1.153,1.377,7.154,1.127,3.727,28.143,0,HU_039
30547,condominium/apartment,petaling,95.0,95.0,2023,12,0,3157.89,4,4,9,1,1,1,44413,38970,83383,0.324,1.16,1.456,1.632,1.977,1.327,1.563,1.148,1.55,1.618,3.481,2.623,1,PE_065
62037,2 - 2 1/2 storey terraced,klang,150.0,125.0,2024,0,1,7200.0,3,0,0,0,0,0,0,0,0,0.485,1.368,2.247,5.901,2.829,6.262,0.46,1.254,3.13,6.541,4.103,6.206,0,KL_055
23197,condominium/apartment,petaling,93.0,93.0,2024,4,1,4838.71,2,5,11,1,2,0,0,0,0,0.428,1.248,0.766,4.764,1.514,3.33,0.333,0.651,0.708,4.051,1.527,3.512,1,PE_076
42248,2 - 2 1/2 storey terraced,gombak,119.0,116.0,2023,0,1,3706.9,4,1,5,0,0,0,0,0,0,0.042,0.742,0.264,2.796,7.527,10.112,0.0,0.733,0.0,3.659,12.646,1.225,0,GO_000
16935,condominium/apartment,petaling,112.0,112.0,2023,14,0,5223.21,8,3,7,1,0,2,312486,279939,592425,0.727,1.074,1.64,2.614,2.641,0.743,7.322,7.903,16.23,11.976,12.97,18.926,1,PE_070
32014,condominium/apartment,kuala lumpur,10.9,10.9,2024,15,1,75229.36,5,5,6,2,0,0,0,0,0,1.459,1.26,0.816,2.316,3.149,1.953,0.234,1.832,1.382,2.473,2.626,2.32,1,KU_047
9281,flat,hulu langat,54.44,54.44,2025,2,0,4041.15,7,8,3,2,0,0,0,0,0,0.648,0.704,0.532,0.8,4.921,2.725,0.574,0.567,0.684,1.012,5.124,3.114,1,HU_015
26914,2 - 2 1/2 storey terraced,petaling,254.0,153.0,2023,0,0,7647.06,3,1,9,6,1,0,0,0,0,1.218,3.791,0.69,0.744,2.364,4.989,1.422,3.972,0.98,1.072,2.434,5.007,1,PE_073
64313,2 - 2 1/2 storey terraced,petaling,108.69,105.0,2024,0,0,6190.48,3,2,9,0,1,0,0,0,0,0.638,1.397,0.818,3.08,0.586,5.147,0.511,1.454,0.725,3.252,0.701,4.984,0,PE_019
67368,condominium/apartment,petaling,80.0,80.0,2024,4,0,3875.0,1,0,4,1,0,0,0,0,0,0.365,2.127,1.06,2.014,4.155,6.392,0.211,2.014,1.018,1.968,4.027,7.22,0,PE_014
37506,condominium/apartment,petaling,94.0,94.0,2024,4,0,3191.49,6,1,8,2,0,0,0,0,0,0.497,0.613,0.515,1.047,3.394,4.978,0.664,0.748,0.293,1.229,1.915,7.326,1,PE_077
30602,condominium/apartment,kuala lumpur,10.1,10.1,2023,5,1,45544.55,9,2,5,1,0,2,115861,98222,214083,0.283,0.189,0.151,2.141,2.94,1.118,0.768,0.055,0.547,2.659,6.127,0.655,1,KU_037
24254,2 - 2 1/2 storey terraced,kuala lumpur,184.0,148.55,2024,0,1,6058.57,1,12,3,3,3,1,122320,108256,230576,1.283,0.473,1.052,0.991,1.097,1.575,2.004,0.259,0.73,0.816,0.77,1.726,1,KU_030
32220,condominium/apartment,kuala lumpur,11.2,11.2,2023,22,1,31696.43,7,8,3,2,1,3,0,27312,27312,0.355,0.369,0.269,1.811,0.815,0.718,0.37,0.41,0.241,2.586,2.414,0.771,1,KU_047
66375,2 - 2 1/2 storey terraced,petaling,198.0,179.34,2023,0,1,5888.26,1,4,3,0,0,0,0,0,0,3.896,1.87,1.556,4.816,4.161,11.256,5.122,2.265,1.54,4.86,5.333,13.513,0,PE_014
34267,2 - 2 1/2 storey terraced,petaling,149.0,130.0,2023,0,0,4461.54,6,19,19,2,0,0,0,0,0,1.183,1.097,0.768,1.394,4.268,3.696,1.576,1.659,1.513,0.905,3.716,5.796,1,PE_077
836,1 - 1 1/2 storey terraced,klang,224.63,70.0,2023,0,0,6071.43,6,11,3,0,0,2,0,0,0,0.366,0.118,0.348,1.781,3.576,0.983,0.376,0.058,0.35,1.783,3.583,0.962,1,KL_021
14215,condominium/apartment,petaling,73.0,73.0,2023,6,1,3835.62,3,3,3,3,0,0,0,0,0,0.777,0.426,0.166,1.09,3.889,3.241,0.777,0.315,0.166,1.112,5.413,3.729,1,PE_064
1213,2 - 2 1/2 storey semi-detached,petaling,316.6,158.0,2023,0,1,15746.84,11,5,8,4,0,1,140810,127009,267819,0.518,0.691,0.728,3.579,3.353,2.852,1.739,1.423,2.086,4.906,4.563,2.435,1,PE_067
27596,condominium/apartment,kuala lumpur,8.8,8.8,2023,39,1,62500.0,9,7,4,3,0,2,0,65930,65930,0.734,0.827,1.159,1.091,2.34,0.914,0.86,1.139,1.186,1.773,2.365,1.109,1,KU_046
32773,condominium/apartment,kuala lumpur,11.5,11.5,2024,12,1,51304.35,5,5,4,2,0,2,115339,114379,229718,0.543,0.559,0.782,1.297,3.806,0.654,0.332,0.07,1.409,1.607,5.914,0.48,1,KU_037
66062,2 - 2 1/2 storey terraced,sepang,100.0,100.0,2024,0,0,2000.0,1,0,0,0,0,0,0,0,0,1.561,3.734,3.437,2.738,6.846,20.612,7.314,6.762,12.678,17.967,25.921,53.806,0,SE_106
1791,2 - 2 1/2 storey semi-detached,hulu langat,282.0,260.0,2023,0,0,5192.31,3,1,7,1,0,0,0,0,0,0.779,0.311,1.0,2.741,3.103,2.593,0.822,0.33,1.509,2.904,3.082,2.943,1,HU_014
30248,2 - 2 1/2 storey terraced,petaling,157.0,133.78,2024,0,0,4761.55,1,1,8,3,2,0,0,0,0,0.371,1.18,0.371,0.727,0.633,3.105,0.633,1.044,0.492,0.989,0.926,3.49,1,PE_065
10206,low-cost flat,klang,59.0,59.0,2024,3,1,3220.34,0,1,6,0,1,1,0,0,0,2.262,1.264,0.697,5.445,1.307,1.434,2.469,1.917,1.374,5.393,1.654,2.288,1,KL_024
16680,condominium/apartment,petaling,89.0,89.0,2024,1,0,5606.74,8,3,7,1,0,2,374339,330657,704996,0.727,1.074,1.64,2.614,2.641,0.743,7.322,7.903,16.23,11.976,12.97,18.926,1,PE_070
42877,2 - 2 1/2 storey terraced,gombak,130.0,109.0,2023,0,1,4669.72,1,1,1,3,1,0,0,0,0,0.693,1.312,1.894,1.213,1.069,13.605,1.452,2.084,2.676,1.863,1.23,34.071,0,GO_001
5146,2 - 2 1/2 storey terraced,klang,159.0,143.0,2023,0,1,3286.71,4,5,3,0,0,0,0,0,0,1.02,1.018,2.023,3.046,5.041,4.674,1.042,0.996,2.075,3.054,7.368,4.71,1,KL_018
68238,2 - 2 1/2 storey terraced,kuala langat,148.0,121.0,2025,0,0,5685.95,0,0,0,2,0,0,0,0,0,3.086,2.475,3.013,4.39,13.46,13.465,3.102,2.896,3.576,4.858,13.545,24.44,0,NOISE
52985,2 - 2 1/2 storey terraced,petaling,125.0,121.0,2024,0,1,5371.9,2,2,6,0,0,0,0,0,0,0.487,1.587,1.727,7.59,4.653,8.358,0.46,1.79,1.652,8.362,3.578,8.955,0,PE_014
58217,1 - 1 1/2 storey terraced,klang,137.0,74.0,2024,0,1,4594.59,3,3,0,0,0,0,0,0,0,0.907,0.295,6.846,10.695,7.953,8.934,0.901,0.262,7.329,10.873,9.312,8.889,0,KL_065
10074,flat,kuala lumpur,5.8,5.8,2024,5,0,43103.45,6,15,9,9,0,2,402940,380538,783478,0.67,0.765,0.053,1.037,2.401,0.928,0.466,0.347,0.77,0.816,2.148,1.233,1,KU_034
46120,2 - 2 1/2 storey terraced,kuala selangor,143.0,130.0,2023,0,0,4461.54,5,7,1,0,0,0,0,0,0,0.833,1.016,0.697,9.565,2.964,21.0,0.875,1.123,1.199,10.921,2.504,21.0,0,KU_081
61509,2 - 2 1/2 storey terraced,klang,130.0,113.0,2024,0,1,5088.5,0,1,4,0,0,0,0,0,0,1.666,4.074,0.612,7.688,4.459,5.393,1.55,1.308,0.521,7.929,4.4,5.323,0,KL_072
24521,2 - 2 1/2 storey terraced,kuala lumpur,163.0,137.0,2024,0,0,8394.16,2,4,3,2,0,0,0,0,0,0.5,0.882,0.1,0.432,3.228,1.739,0.918,0.745,0.058,0.398,3.281,1.777,1,KU_046
20345,condominium/apartment,petaling,82.0,82.0,2023,3,1,4512.2,5,4,4,0,2,1,77896,68774,146670,0.221,1.383,0.811,2.71,1.414,0.0,0.176,1.705,1.27,4.73,1.625,0.0,1,PE_076
17823,2 - 2 1/2 storey terraced,petaling,146.0,130.0,2023,0,0,6830.77,3,2,3,0,3,1,74825,66833,141658,0.141,1.111,0.43,2.717,1.257,0.472,0.043,1.098,0.335,4.836,1.919,0.355,1,PE_076
63890,condominium/apartment,gombak,89.36,89.36,2025,4,0,3860.79,3,9,4,3,0,1,0,28442,28442,0.274,1.166,0.735,1.127,7.122,9.898,0.54,0.715,0.34,1.769,3.02,1.764,0,GO_000
56311,condominium/apartment,klang,84.0,84.0,2024,2,0,1904.76,1,1,0,1,0,0,0,0,0,0.953,1.151,6.953,0.809,13.572,14.691,1.3,1.186,6.911,2.24,13.808,15.436,0,KL_064
52005,flat,sepang,6.7,6.7,2023,6,0,32835.82,4,3,0,0,1,0,0,0,0,1.422,1.356,2.58,4.991,1.753,8.007,1.43,1.401,2.732,4.866,2.021,8.666,0,SE_097
49414,cluster house,hulu langat,208.1,208.0,2023,0,1,4307.69,0,0,2,1,1,0,0,0,0,3.467,4.493,0.917,1.918,10.27,17.864,3.367,4.698,0.833,0.824,2.49,17.885,0,HU_033
16598,condominium/apartment,kuala lumpur,7.93,7.93,2023,6,0,36569.99,4,11,0,4,2,1,185758,167621,353379,0.782,0.766,1.902,1.563,1.711,1.875,0.703,0.729,1.83,2.197,1.69,3.346,1,KU_042
47974,1 - 1 1/2 storey terraced,petaling,236.0,55.0,2023,0,0,9636.36,5,9,20,1,0,0,0,0,0,1.05,1.216,0.395,1.461,5.74,6.401,1.252,1.022,0.274,1.53,4.733,4.335,0,PE_015
18551,condominium/apartment,kuala lumpur,8.6,8.6,2024,4,1,69767.44,5,7,0,9,0,0,0,0,0,0.58,0.615,1.563,0.202,2.84,2.126,0.666,1.774,2.904,0.161,2.873,3.035,1,KU_036
27781,condominium/apartment,gombak,89.0,89.0,2023,16,0,4044.94,12,6,9,15,0,0,0,0,0,0.197,0.723,0.021,0.172,2.006,4.654,0.402,0.714,0.451,0.377,2.96,5.03,1,GO_004
42762,2 - 2 1/2 storey terraced,gombak,109.0,105.0,2023,0,0,4190.48,3,4,1,0,0,0,0,0,0,0.818,0.682,1.399,1.881,3.274,19.31,0.812,0.473,1.626,1.932,3.278,39.122,0,GO_001
54529,detached,klang,347.0,239.0,2023,0,1,5284.52,1,5,6,0,0,0,0,0,0,0.889,0.858,0.771,4.412,7.149,10.285,0.323,0.885,0.244,3.68,7.07,9.75,0,KL_066
49194,2 - 2 1/2 storey terraced,sepang,156.0,111.0,2023,0,1,3603.6,4,3,5,3,0,0,0,0,0,0.61,1.08,3.23,1.08,2.748,7.92,0.737,1.104,1.21,1.284,2.66,13.788,0,SE_107
55519,condominium/apartment,petaling,88.0,88.0,2023,4,1,3750.0,4,1,5,0,1,0,0,0,0,0.394,2.885,0.265,5.23,3.536,7.534,1.384,2.731,0.297,4.662,4.726,6.614,0,PE_018
16358,condominium/apartment,petaling,75.0,75.0,2024,6,0,3733.33,7,3,3,3,0,0,0,0,0,0.533,0.249,1.362,1.253,1.824,1.297,0.387,0.323,1.224,1.582,1.884,2.582,1,PE_070
60271,2 - 2 1/2 storey terraced,gombak,85.0,71.53,2024,0,1,6500.77,4,2,4,0,1,0,0,0,0,0.562,1.181,0.277,1.75,1.156,5.708,0.597,1.094,0.337,1.668,1.239,4.741,0,GO_000
40057,1 - 1 1/2 storey terraced,kuala langat,111.0,68.0,2023,0,1,4558.82,1,2,0,0,0,0,0,0,0,0.223,0.73,2.289,5.156,19.23,13.465,0.071,0.142,2.375,5.202,19.166,24.44,0,KU_011
14369,condominium/apartment,petaling,76.0,76.0,2023,0,1,3973.68,2,4,3,3,0,0,0,0,0,0.919,1.337,0.272,1.265,1.778,2.465,0.973,1.826,0.203,1.682,2.716,3.049,1,PE_079
17362,condominium/apartment,kuala lumpur,8.2,8.2,2024,10,1,40243.9,4,14,3,13,0,0,0,0,0,0.322,0.303,1.676,0.98,3.624,3.824,0.299,0.303,2.054,1.058,2.964,3.582,1,KU_032
65472,flat,hulu selangor,65.03,65.03,2024,-1,1,2306.63,1,2,0,7,1,0,0,0,0,1.145,0.412,5.294,1.279,1.984,21.0,1.283,0.215,5.365,1.291,3.023,28.143,0,HU_039
21428,condominium/apartment,petaling,151.0,151.0,2024,2,1,7145.7,5,6,2,5,1,2,50566,37493,88059,0.923,0.0,1.035,1.694,2.372,1.269,1.333,0.0,1.328,1.437,2.177,3.593,1,PE_075
21025,1 - 1 1/2 storey terraced,kuala lumpur,163.0,110.0,2024,0,1,12000.0,2,6,6,1,0,0,0,0,0,0.24,0.361,0.395,1.626,5.389,1.865,0.258,0.325,0.388,1.468,9.631,2.071,1,KU_039
49026,2 - 2 1/2 storey terraced,sepang,158.0,139.0,2023,0,0,3237.41,4,5,0,2,5,0,0,0,0,0.554,0.3,2.933,1.863,1.399,10.929,0.665,0.264,3.144,1.907,1.293,11.906,0,SE_100
9172,condominium/apartment,kuala lumpur,5.4,5.4,2023,10,0,110555.56,4,6,5,1,0,1,138896,128048,266944,0.435,1.044,1.294,1.301,2.282,0.655,0.56,1.496,1.85,1.411,2.471,2.423,1,KU_034
21047,1 - 1 1/2 storey terraced,kuala lumpur,143.0,92.0,2024,0,1,7608.7,8,5,3,1,0,0,0,0,0,0.439,0.758,0.663,3.603,1.42,1.67,0.465,0.818,0.535,2.97,3.222,3.537,1,KU_031
37658,condominium/apartment,kuala lumpur,24.1,24.1,2023,25,1,69709.54,8,8,1,7,0,0,0,0,0,0.811,1.021,0.662,1.534,5.674,4.995,0.893,0.206,0.69,1.656,5.615,5.436,1,KU_032
60418,2 - 2 1/2 storey terraced,gombak,111.48,111.0,2024,0,1,5675.68,0,2,3,0,1,0,0,0,0,2.812,1.733,0.943,3.286,1.85,22.118,3.128,2.016,1.42,3.24,2.828,29.868,0,GO_004
1786,2 - 2 1/2 storey semi-detached,hulu langat,391.0,276.0,2023,0,1,5724.64,3,2,15,2,0,0,0,0,0,0.098,1.62,0.098,4.003,2.15,3.996,0.098,0.848,0.235,3.758,2.287,3.928,1,HU_014
57944,2 - 2 1/2 storey terraced,hulu selangor,153.0,113.0,2024,0,1,6814.16,0,0,0,1,0,0,0,0,0,2.972,2.303,10.95,2.051,5.416,21.0,3.019,2.348,10.848,1.269,5.443,28.143,0,HU_047
26276,1 - 1 1/2 storey terraced,petaling,145.0,109.0,2024,0,1,5871.56,10,10,10,0,0,3,127275,127160,254435,0.77,0.642,0.774,1.851,3.591,0.628,0.731,0.51,0.866,2.066,5.817,0.846,1,PE_066
61943,2 - 2 1/2 storey terraced,klang,164.0,143.0,2024,0,0,4405.59,2,1,0,0,0,0,0,0,0,0.594,0.768,2.002,5.097,6.263,5.9,0.642,0.7,1.854,4.294,6.382,5.9,0,KL_067
55500,2 - 2 1/2 storey terraced,petaling,163.0,149.0,2024,0,0,4362.42,3,2,4,0,1,0,0,0,0,0.588,2.803,0.336,5.148,3.453,7.452,1.174,3.735,0.767,5.649,3.668,4.479,0,PE_018
38447,1 - 1 1/2 storey semi-detached,kuala langat,257.0,79.0,2023,0,1,5063.29,0,0,0,0,0,0,0,0,0,2.294,3.187,3.583,4.306,16.946,13.465,2.312,4.421,3.786,6.304,16.401,24.44,0,KU_007
32851,condominium/apartment,kuala lumpur,11.6,11.6,2024,30,1,123706.9,3,4,4,4,2,0,0,0,0,0.858,1.088,0.639,0.884,1.108,4.677,0.653,0.869,0.617,0.514,0.977,4.481,1,KU_035
41919,2 - 2 1/2 storey semi-detached,kuala selangor,597.0,228.0,2023,0,1,4824.56,3,0,1,0,0,0,0,0,0,2.369,1.606,1.515,3.653,6.703,21.0,1.442,1.56,1.748,3.347,6.599,21.0,0,KU_077
54345,detached,gombak,497.0,310.0,2023,0,1,2096.77,0,2,0,1,0,0,0,0,0,2.186,1.056,1.993,0.683,4.776,8.247,2.169,1.056,2.146,0.887,4.776,35.203,0,GO_001
36922,town house,hulu langat,75.0,75.0,2024,0,0,6600.0,7,4,7,3,0,2,172787,154902,327689,0.854,1.159,0.788,2.258,6.15,0.444,1.394,1.848,1.056,2.311,6.245,1.784,1,HU_012
61157,2 - 2 1/2 storey terraced,hulu langat,130.0,130.0,2024,0,1,5915.38,0,0,2,0,0,0,0,0,0,2.584,4.499,1.075,5.76,10.708,6.081,3.698,5.724,1.212,7.252,10.01,7.416,0,HU_037
7106,flat,petaling,70.0,70.0,2023,0,0,3571.43,1,8,7,0,1,0,0,0,0,1.012,0.685,0.811,4.726,1.767,2.956,1.358,0.764,0.802,4.823,1.435,3.948,1,PE_078
48284,2 - 2 1/2 storey terraced,hulu selangor,154.0,130.0,2023,0,0,3461.54,0,0,0,1,0,0,0,0,0,2.491,2.22,7.457,1.397,2.786,21.0,2.475,2.162,9.687,0.659,2.785,28.143,0,HU_044
20833,1 - 1 1/2 storey terraced,klang,111.0,72.0,2024,0,1,3888.89,2,8,1,2,0,0,0,0,0,1.226,1.467,2.084,2.795,6.199,2.917,1.217,0.777,2.112,3.134,6.971,3.279,1,KL_021
52376,condominium/apartment,petaling,76.0,76.0,2023,10,1,3684.21,3,2,5,0,0,0,0,0,0,0.814,0.863,0.718,9.11,6.172,9.501,1.443,0.805,0.962,10.357,5.845,10.95,0,PE_014
58707,1 - 1 1/2 storey terraced,kuala langat,153.0,93.0,2024,0,1,4731.18,0,1,1,4,0,0,0,0,0,4.471,0.335,2.255,1.682,7.09,13.465,4.302,0.151,2.317,1.682,6.262,24.44,0,KU_008
44890,2 - 2 1/2 storey terraced,klang,201.0,167.0,2023,0,1,5269.46,3,2,3,3,0,0,0,0,0,1.129,1.638,2.046,1.033,2.581,12.939,3.026,3.558,2.634,1.508,3.066,12.262,0,KL_054
26412,2 - 2 1/2 storey terraced,petaling,230.0,132.0,2024,0,1,9090.91,9,12,18,0,0,2,119103,122430,241533,0.194,0.666,0.327,2.332,2.776,1.182,0.226,0.634,0.194,2.342,5.103,1.187,1,PE_066
14104,low-cost flat,petaling,48.0,48.0,2023,0,1,5729.17,5,2,1,1,1,3,234814,237693,472507,0.69,0.967,1.376,2.191,2.057,0.412,1.253,2.112,2.269,2.87,3.672,1.531,1,PE_079
68563,condominium/apartment,kuala lumpur,33.74,33.74,2023,12,1,94842.92,7,7,2,5,0,0,0,0,0,0.595,0.945,0.446,1.318,5.458,5.377,0.734,0.612,0.531,1.497,6.021,5.842,0,KU_121
8445,low-cost flat,kuala lumpur,4.8,4.8,2023,3,1,25000.0,8,21,1,5,0,6,286906,304186,591092,0.21,0.437,1.706,0.595,2.024,0.547,0.266,0.215,2.434,1.692,2.639,0.815,1,KU_030
32889,condominium/apartment,hulu langat,116.0,116.0,2025,23,1,3491.38,6,5,3,1,1,0,0,0,0,1.036,0.482,2.343,2.971,2.32,3.501,0.751,0.838,1.101,5.005,3.604,4.733,1,HU_016
27480,cluster house,kuala lumpur,82.0,64.0,2024,0,0,4687.5,2,13,3,4,0,1,126754,111411,238165,1.038,1.034,1.3,1.347,2.524,1.254,1.34,1.314,1.69,2.212,3.146,1.331,1,KU_030
52932,2 - 2 1/2 storey semi-detached,petaling,253.0,179.0,2024,0,1,12011.17,2,1,5,0,0,0,0,0,0,1.799,1.946,1.038,6.264,3.682,6.527,7.322,7.903,16.23,11.976,12.97,18.926,0,PE_014
1792,2 - 2 1/2 storey semi-detached,hulu langat,308.0,240.0,2023,0,1,5700.0,1,1,5,2,0,1,71661,68981,140642,2.115,2.953,0.98,2.438,2.276,3.963,3.396,4.107,2.281,3.676,3.854,5.485,1,HU_014
24655,2 - 2 1/2 storey terraced,kuala lumpur,65.0,65.0,2024,0,1,7307.69,2,6,7,0,0,1,174992,159478,334470,0.437,0.699,0.316,1.929,3.981,0.377,0.564,0.538,0.747,2.274,4.931,1.112,1,KU_043
9598,low-cost flat,hulu langat,56.0,56.0,2023,3,1,2053.57,3,5,1,0,0,0,0,0,0,0.907,1.351,1.23,2.62,6.317,4.712,0.843,1.268,1.166,2.69,6.295,4.872,1,HU_015
33111,condominium/apartment,kuala lumpur,11.9,11.9,2023,6,1,47058.82,5,5,6,2,0,0,0,0,0,1.459,1.26,0.816,2.316,3.149,1.953,0.234,1.832,1.382,2.473,2.626,2.32,1,KU_047
42796,2 - 2 1/2 storey terraced,gombak,109.0,105.0,2023,0,0,3523.81,4,4,1,0,0,0,0,0,0,0.716,1.71,1.741,1.784,3.421,20.169,0.607,1.77,2.484,1.425,3.429,39.273,0,GO_001
17067,condominium/apartment,kuala lumpur,8.1,8.1,2023,6,1,37037.04,7,7,4,2,1,2,0,27680,27680,0.182,0.591,0.332,2.171,0.278,0.929,0.126,0.564,0.51,2.781,2.317,0.966,1,KU_047
